name,email,phone,status,createdAt,owner,company
"test",test@yahoo.fr,2311335551,Closed,2025-02-27T14:31:16.667067,sarra,"ss"
"orange",orange@gmail.com,123700,Open,2025-02-27T15:00:33.205856,Rami Khadhri,"Orange.fr"
"Client ",num123@client.tn,20545309,Open,2025-02-27T14:07:14.219921,Mohamed,"tested"
"aaaaaaa",aaaaaaa@gmail.com,15467246,Open,2025-02-27T21:52:25.594940,,"123xz"
"Terrell",elijah57@example.net,001-084-906-7849x73518,N/A,2025-02-27T22:32:16.180214,,
"Summers",bethany14@example.com,214.112.6044x4913,N/A,2025-02-27T22:32:16.180214,,
"Travis",bthompson@example.com,277.609.7938,N/A,2025-02-27T22:32:16.180214,,
"Martinez",kaitlinkaiser@example.com,584.094.6111,N/A,2025-02-27T22:32:16.180214,,
"Todd",buchananmanuel@example.net,689-207-3558x7233,N/A,2025-02-27T22:32:16.180214,,
"Day",tconner@example.org,001-171-649-9856x5553,N/A,2025-02-27T22:32:16.180214,,
"Walsh",stephenfuller@example.org,001-826-496-5529x8661,N/A,2025-02-27T22:32:16.181216,,
"Vang",haleymathews@example.net,741.168.6854x067,N/A,2025-02-27T22:32:16.181216,,
"Hill",tyrone56@example.org,5247842945,N/A,2025-02-27T22:32:16.181216,,
"Andrews",lhernandez@example.com,(975)799-4261,N/A,2025-02-27T22:32:16.181216,,
"Pugh",molly03@example.org,(746)182-6137x2453,N/A,2025-02-27T22:32:16.181216,,
"Estrada",jvang@example.org,(890)374-9518x772,N/A,2025-02-27T22:32:16.181216,,
"Brady",erikmueller@example.org,(390)002-0863,N/A,2025-02-27T22:32:16.181216,,
"Frey",rivasdominique@example.org,805-021-3965x46344,N/A,2025-02-27T22:32:16.181216,,
"Sweeney",daisymcgee@example.net,875.994.2100x535,N/A,2025-02-27T22:32:16.181216,,
"Escobar",staffordtravis@example.net,601-155-3065x1131,N/A,2025-02-27T22:32:16.181216,,
"Oconnell",saralong@example.net,952-283-1423x733,N/A,2025-02-27T22:32:16.181216,,
"Esparza",iphelps@example.net,+1-327-578-8754x6771,N/A,2025-02-27T22:32:16.181216,,
"Rivas",roberto29@example.com,(655)887-2040x37888,N/A,2025-02-27T22:32:16.181216,,
"Payne",yolanda07@example.org,001-731-525-8400x52593,N/A,2025-02-27T22:32:16.181216,,
"Rocha",abbottyvette@example.net,4225525458,N/A,2025-02-27T22:32:16.181216,,
"Watkins",ochang@example.org,210.683.2761x5883,N/A,2025-02-27T22:32:16.181216,,
"Olsen",amyanderson@example.com,497-774-3053,N/A,2025-02-27T22:32:16.181216,,
"Nelson",qnorman@example.org,956.330.2951,N/A,2025-02-27T22:32:16.181216,,
"Daugherty",kalvarado@example.org,001-951-655-4798x6124,N/A,2025-02-27T22:32:16.181216,,
"Garner",jodyvincent@example.org,995.000.4213x0982,N/A,2025-02-27T22:32:16.181216,,
"Bennett",hutchinsonkirk@example.com,001-740-937-0846x0087,N/A,2025-02-27T22:32:16.181216,,
"Conway",floreschristina@example.org,795.782.4384x555,N/A,2025-02-27T22:32:16.181216,,
"Barnett",nathan65@example.org,+1-026-265-6392,N/A,2025-02-27T22:32:16.181216,,
"Harper",maria32@example.org,+1-244-630-3792x4121,N/A,2025-02-27T22:32:16.181216,,
"Ward",imccullough@example.com,116-729-5046,N/A,2025-02-27T22:32:16.181216,,
"Rubio",corey92@example.com,593.976.2528,N/A,2025-02-27T22:32:16.181216,,
"Pineda",daltoncalvin@example.net,(035)961-5060x9182,N/A,2025-02-27T22:32:16.181216,,
"Wu",ubanks@example.com,+1-096-606-6454x067,N/A,2025-02-27T22:32:16.181216,,
"Benton",lopezdebbie@example.org,+1-695-557-9948x485,N/A,2025-02-27T22:32:16.181216,,
"Hull",meagan39@example.net,017.665.3744x7944,N/A,2025-02-27T22:32:16.181216,,
"Ritter",kristina76@example.com,(954)060-1066,N/A,2025-02-27T22:32:16.181216,,
"Briggs",weissbridget@example.com,+1-521-589-2387x48490,N/A,2025-02-27T22:32:16.181216,,
"Andrews",wpetersen@example.org,7677125383,N/A,2025-02-27T22:32:16.181216,,
"Cunningham",wongmary@example.org,079-907-5051,N/A,2025-02-27T22:32:16.181216,,
"Atkinson",gailfrench@example.net,874-037-2032x932,N/A,2025-02-27T22:32:16.181216,,
"Reid",vpaul@example.com,(742)214-8691,N/A,2025-02-27T22:32:16.181216,,
"Stevens",xpoole@example.net,891-359-2684,N/A,2025-02-27T22:32:16.181216,,
"Huff",cassandra80@example.org,221.800.6408x5416,N/A,2025-02-27T22:32:16.181216,,
"Foley",johnathan72@example.org,001-386-469-3075x8030,N/A,2025-02-27T22:32:16.181216,,
"Waters",nhall@example.net,+1-376-865-2765x3351,N/A,2025-02-27T22:32:16.181216,,
"Stephenson",erikaball@example.net,+1-832-500-6044x475,N/A,2025-02-27T22:32:16.181216,,
"Reese",nixonvanessa@example.net,001-834-660-8312x9864,N/A,2025-02-27T22:32:16.181216,,
"Williamson",melvin08@example.net,001-377-726-4229,N/A,2025-02-27T22:32:16.181216,,
"Vaughn",oblake@example.com,160-144-5039x12276,N/A,2025-02-27T22:32:16.181216,,
"Dickson",johnnyhendricks@example.net,001-698-651-0138x18588,N/A,2025-02-27T22:32:16.181216,,
"Bailey",pbarron@example.net,+1-965-621-1157x345,N/A,2025-02-27T22:32:16.181216,,
"Medina",olsenmalik@example.net,+1-451-099-5805,N/A,2025-02-27T22:32:16.181216,,
"Haney",teresa37@example.com,(164)105-8456,N/A,2025-02-27T22:32:16.181216,,
